SID,error_rate%,capsLock_usage,wpm,negative_ud%,negative_uu%,rsa_ratio,lsa_ratio,mean_hold_time1,mean_hold_time2,mean_f1,mean_f2,mean_f3,mean_f4,UID
8,0.0,0,11.7552149360378,10.679611650485436,0.9708737864077669,0.18181818181818182,0.8181818181818182,149.98058252427185,148.39805825242718,691.1067961165048,841.0873786407767,839.504854368932,989.4854368932039,3
9,0.0,0,4.70289053586825,12.280701754385964,1.7543859649122806,0.0,1.0,330.05263157894734,298.7894736842105,1682.3508771929824,2012.4035087719299,1981.140350877193,2311.1929824561403,3
10,0.0,0,12.160108089849688,20.689655172413794,13.793103448275861,0.0,1.0,2417.4137931034484,2417.1724137931033,-1425.6206896551723,991.7931034482758,991.551724137931,3408.9655172413795,3
11,3.9215686274509802,0,7.470491558344539,6.9306930693069315,1.9801980198019802,0.0,1.0,194.95049504950495,193.93069306930693,995.4653465346535,1190.4158415841584,1189.3960396039604,1384.3465346534654,3
12,0.0,0,10.953202442564145,10.679611650485436,5.825242718446602,0.1,0.9,145.16504854368932,149.96116504854368,912.1747572815534,1057.3398058252428,1062.1359223300972,1207.3009708737864,3
13,2.7027027027027026,0,8.570492299160595,6.25,3.4722222222222223,0.0,1.0,192.74305555555554,192.74305555555554,627.6666666666666,820.4097222222222,820.4097222222222,1013.1527777777778,3
14,5.64516129032258,0,7.501250208368061,6.504065040650407,2.4390243902439024,0.0,1.0,104.20325203252033,103.5691056910569,870.609756097561,974.8130081300814,974.1788617886178,1078.3821138211383,3
15,13.20754716981132,4,16.239258407199404,3.9408866995073892,0.9852216748768473,0.0,1.0,182.0344827586207,182.1871921182266,399.9310344827586,581.9655172413793,582.1182266009852,764.1527093596059,3
16,9.327548806941431,0,17.004959779935813,7.657657657657657,2.7027027027027026,0.0,1.0,3314.463963963964,3314.463963963964,-2774.4324324324325,540.0315315315315,540.0315315315315,3854.4954954954956,3
17,11.598746081504702,0,11.196118678857996,10.967741935483872,3.225806451612903,0.0,1.0,3551.006451612903,3551.309677419355,-2825.7548387096776,725.2516129032258,725.5548387096774,4276.561290322581,3
18,4.135338345864661,0,23.629766802691446,0.0,0.0,0.0,0.0,77.22641509433963,77.10943396226415,372.87924528301886,450.1056603773585,449.98867924528304,527.2150943396226,3
19,5.454545454545454,0,22.925985030680362,1.834862385321101,1.834862385321101,0.0,1.0,76.85321100917432,86.58715596330275,320.8715596330275,397.72477064220186,407.45871559633025,484.3119266055046,3
20,4.778156996587031,0,31.513405904527936,0.684931506849315,0.0,0.0,0.0,79.32876712328768,79.22260273972603,324.722602739726,404.0513698630137,403.94520547945206,483.2739726027397,3
21,2.356902356902357,0,30.638118044795043,0.6756756756756757,0.0,0.0,0.0,84.50337837837837,84.50337837837837,298.9628378378378,383.4662162162162,383.4662162162162,467.9695945945946,3
22,0.0,0,26.94230280437177,0.8163265306122449,0.40816326530612246,0.0,0.0,82.57142857142857,83.14693877551021,398.28979591836736,480.8612244897959,481.43673469387755,564.0081632653062,3
23,3.361344537815126,0,37.45256009055197,0.8426966292134831,0.0,0.0,0.0,78.96067415730337,78.8314606741573,258.3679775280899,337.32865168539325,337.19943820224717,416.16011235955057,3
24,2.67639902676399,0,44.52485971333995,0.4878048780487805,0.0,0.0,0.0,78.01951219512195,78.13414634146342,214.27073170731708,292.29024390243904,292.40487804878046,370.42439024390245,3
25,2.768166089965398,0,21.08028073580218,0.3472222222222222,0.0,0.0,0.0,83.67708333333333,83.94444444444444,330.9166666666667,414.59375,414.8611111111111,498.53819444444446,3
26,1.2944983818770228,0,23.163495673629704,0.0,0.0,0.0,0.0,83.33116883116882,83.27922077922078,303.22727272727275,386.5584415584416,386.5064935064935,469.8376623376623,3
27,0.5249343832020997,0,27.51903399851564,0.0,0.0,0.0,0.0,82.01578947368421,81.97368421052632,233.3921052631579,315.4078947368421,315.36578947368423,397.38157894736844,3
28,0.8620689655172413,0,26.983360261172276,0.2881844380403458,0.0,0.0,0.0,77.97694524495677,77.93083573487031,267.8328530259366,345.8097982708934,345.76368876080693,423.7406340057637,3
1,1.0416666666666665,0,4.744624954969995,19.565217391304348,2.1739130434782608,0.0,1.0,178.07608695652175,357.14130434782606,875.0326086956521,1053.108695652174,1232.1739130434783,1410.25,4
2,13.445378151260504,0,6.0161433179030395,20.175438596491226,7.894736842105263,0.0,1.0,903.3070175438596,902.5438596491229,145.9298245614035,1049.2368421052631,1048.4736842105262,1951.780701754386,4
3,7.346938775510205,0,6.571796880924096,16.216216216216218,8.108108108108109,0.0,1.0,2040.7117117117118,2038.8018018018017,-972.6666666666666,1068.045045045045,1066.1351351351352,3106.846846846847,4
4,8.955223880597014,0,22.114108801415302,15.151515151515152,3.0303030303030303,0.0,1.0,172.78787878787878,170.0,236.1969696969697,408.9848484848485,406.1969696969697,578.9848484848485,4
5,8.641975308641975,0,11.47227533460803,11.03896103896104,3.896103896103896,0.0,1.0,467.02597402597405,460.94805194805195,75.72727272727273,542.7532467532468,536.6753246753246,1003.7012987012987,4
6,0.7220216606498195,0,7.991941459028813,19.230769230769234,5.384615384615385,0.0,1.0,3429.6846153846154,3429.2615384615383,-2506.476923076923,923.2076923076924,922.7846153846153,4352.469230769231,4
7,7.052896725440807,0,10.023387905111928,17.5531914893617,5.319148936170213,0.0,1.0,1051.2553191489362,1051.595744680851,-415.21276595744683,636.0425531914893,636.3829787234042,1687.6382978723404,4
8,13.513513513513514,0,5.98812355494935,24.637681159420293,7.971014492753622,0.0,1.0,2545.9202898550725,2840.9710144927535,-1970.9202898550725,575.0,870.0507246376811,3415.9710144927535,4
9,13.168724279835391,0,7.0457976849521895,17.796610169491526,5.084745762711865,0.0,1.0,324.02542372881356,325.41525423728814,684.2627118644068,1008.2881355932203,1009.6779661016949,1333.7033898305085,4
10,11.78343949044586,0,11.603477527052807,20.52980132450331,6.622516556291391,0.0,1.0,2538.980132450331,2539.390728476821,-1786.7748344370862,752.205298013245,752.615894039735,3291.5960264900664,4
11,13.537117903930133,0,15.904572564612327,16.113744075829384,2.3696682464454977,0.0,1.0,138.13744075829385,137.9383886255924,427.6445497630332,565.781990521327,565.5829383886256,703.7203791469194,4
12,15.81769436997319,0,12.09636772957898,25.454545454545453,6.666666666666667,0.0,1.0,5546.40606060606,5532.230303030303,-4825.781818181818,720.6242424242424,706.4484848484849,6252.854545454546,4
13,12.552301255230125,0,18.06171084538841,20.425531914893615,5.106382978723404,0.0,1.0,1931.8085106382978,1931.872340425532,-1423.3106382978724,508.49787234042554,508.5617021276596,2440.3702127659576,4
14,12.087912087912088,0,20.04242312895629,15.023474178403756,3.755868544600939,0.0,1.0,712.0140845070423,712.2347417840375,-151.2206572769953,560.793427230047,561.0140845070423,1273.0281690140846,4
15,13.10344827586207,0,23.348781264371887,14.388489208633093,1.4388489208633095,0.0,1.0,123.02877697841727,122.9136690647482,283.021582733813,406.0503597122302,405.9352517985611,528.9640287769785,4
16,3.935185185185185,0,44.455174365847775,13.68909512761021,0.0,0.0,0.0,127.35498839907193,127.21113689095128,151.20185614849188,278.5568445475638,278.41299303944317,405.7679814385151,4
17,3.4782608695652173,0,46.940541980158464,14.628820960698691,0.43668122270742354,0.0,0.0,120.85589519650655,120.99126637554585,140.76855895196508,261.6244541484716,261.7598253275109,382.6157205240175,4
